date	iso_3166-1	iso_3166-2	voivodeship	cases	deaths
2020-03-21	KP	04	kujawsko-pomorskie	4	0
2020-03-22	KP	04	kujawsko-pomorskie	0	0
2020-03-23	KP	04	kujawsko-pomorskie	3	0
2020-03-24	KP	04	kujawsko-pomorskie	1	0
2020-03-25	KP	04	kujawsko-pomorskie	5	0
2020-03-26	KP	04	kujawsko-pomorskie	4	0
2020-03-27	KP	04	kujawsko-pomorskie	2	0
2020-03-28	KP	04	kujawsko-pomorskie	4	0
2020-03-29	KP	04	kujawsko-pomorskie	10	0
2020-03-30	KP	04	kujawsko-pomorskie	25	0
2020-03-31	KP	04	kujawsko-pomorskie	4	0
2020-04-01	KP	04	kujawsko-pomorskie	8	0
2020-04-02	KP	04	kujawsko-pomorskie	73	0
2020-04-03	KP	04	kujawsko-pomorskie	42	1
2020-04-04	KP	04	kujawsko-pomorskie	25	0
2020-04-05	KP	04	kujawsko-pomorskie	17	0
2020-04-06	KP	04	kujawsko-pomorskie	4	0
2020-04-07	KP	04	kujawsko-pomorskie	19	0
2020-04-08	KP	04	kujawsko-pomorskie	13	4
2020-04-09	KP	04	kujawsko-pomorskie	3	1
2020-04-10	KP	04	kujawsko-pomorskie	10	1
2020-04-11	KP	04	kujawsko-pomorskie	23	0
2020-04-12	KP	04	kujawsko-pomorskie	23	0
2020-04-13	KP	04	kujawsko-pomorskie	9	0
2020-04-14	KP	04	kujawsko-pomorskie	7	2
2020-04-15	KP	04	kujawsko-pomorskie	7	3
2020-04-16	KP	04	kujawsko-pomorskie	8	1
2020-04-17	KP	04	kujawsko-pomorskie	20	0
2020-04-18	KP	04	kujawsko-pomorskie	11	3
2020-04-19	KP	04	kujawsko-pomorskie	8	0
2020-04-20	KP	04	kujawsko-pomorskie	15	1
2020-04-21	KP	04	kujawsko-pomorskie	17	0
2020-04-22	KP	04	kujawsko-pomorskie	14	3
2020-04-23	KP	04	kujawsko-pomorskie	8	0
2020-04-24	KP	04	kujawsko-pomorskie	11	4
2020-04-25	KP	04	kujawsko-pomorskie	3	2
2020-04-26	KP	04	kujawsko-pomorskie	4	0
2020-04-27	KP	04	kujawsko-pomorskie	5	0
2020-04-28	KP	04	kujawsko-pomorskie	35	1
2020-04-29	KP	04	kujawsko-pomorskie	19	1
2020-04-30	KP	04	kujawsko-pomorskie	7	0
2020-05-01	KP	04	kujawsko-pomorskie	6	0
2020-05-02	KP	04	kujawsko-pomorskie	4	0
2020-05-03	KP	04	kujawsko-pomorskie	3	1
2020-05-04	KP	04	kujawsko-pomorskie	0	0
2020-05-05	KP	04	kujawsko-pomorskie	4	1
2020-05-06	KP	04	kujawsko-pomorskie	0	0
2020-05-07	KP	04	kujawsko-pomorskie	5	1
2020-05-08	KP	04	kujawsko-pomorskie	5	1
2020-05-09	KP	04	kujawsko-pomorskie	1	0
2020-05-10	KP	04	kujawsko-pomorskie	2	0
2020-05-11	KP	04	kujawsko-pomorskie	3	0
2020-05-12	KP	04	kujawsko-pomorskie	0	2
2020-05-13	KP	04	kujawsko-pomorskie	0	5
2020-05-14	KP	04	kujawsko-pomorskie	1	1
2020-05-15	KP	04	kujawsko-pomorskie	3	2
2020-05-16	KP	04	kujawsko-pomorskie	1	0
2020-05-17	KP	04	kujawsko-pomorskie	0	1
2020-05-18	KP	04	kujawsko-pomorskie	0	1
2020-05-19	KP	04	kujawsko-pomorskie	1	0
2020-05-20	KP	04	kujawsko-pomorskie	1	0
2020-05-21	KP	04	kujawsko-pomorskie	3	0
2020-05-22	KP	04	kujawsko-pomorskie	3	1
2020-05-23	KP	04	kujawsko-pomorskie	2	0
2020-05-24	KP	04	kujawsko-pomorskie	1	0
2020-05-25	KP	04	kujawsko-pomorskie	1	1
2020-05-26	KP	04	kujawsko-pomorskie	0	0
2020-05-27	KP	04	kujawsko-pomorskie	0	0
2020-05-28	KP	04	kujawsko-pomorskie	0	0
2020-05-29	KP	04	kujawsko-pomorskie	0	0
2020-05-30	KP	04	kujawsko-pomorskie	0	0
2020-05-31	KP	04	kujawsko-pomorskie	0	0
2020-06-01	KP	04	kujawsko-pomorskie	0	1
2020-06-02	KP	04	kujawsko-pomorskie	1	0
2020-06-03	KP	04	kujawsko-pomorskie	1	0
2020-06-04	KP	04	kujawsko-pomorskie	4	0
2020-06-05	KP	04	kujawsko-pomorskie	2	0
2020-06-06	KP	04	kujawsko-pomorskie	0	0
2020-03-04	LB	08	lubuskie	1	0
2020-03-05	LB	08	lubuskie	0	0
2020-03-06	LB	08	lubuskie	0	0
2020-03-07	LB	08	lubuskie	0	0
2020-03-08	LB	08	lubuskie	0	0
2020-03-09	LB	08	lubuskie	0	0
2020-03-10	LB	08	lubuskie	0	0
2020-03-11	LB	08	lubuskie	0	0
2020-03-12	LB	08	lubuskie	0	0
2020-03-13	LB	08	lubuskie	0	0
2020-03-14	LB	08	lubuskie	0	0
2020-03-15	LB	08	lubuskie	1	0
2020-03-16	LB	08	lubuskie	0	0
2020-03-17	LB	08	lubuskie	0	0
2020-03-18	LB	08	lubuskie	1	0
2020-03-19	LB	08	lubuskie	6	0
2020-03-20	LB	08	lubuskie	0	0
2020-03-21	LB	08	lubuskie	0	0
2020-03-22	LB	08	lubuskie	2	0
2020-03-23	LB	08	lubuskie	5	0
2020-03-24	LB	08	lubuskie	5	0
2020-03-25	LB	08	lubuskie	2	0
2020-03-26	LB	08	lubuskie	7	0
2020-03-27	LB	08	lubuskie	1	0
2020-03-28	LB	08	lubuskie	2	0
2020-03-29	LB	08	lubuskie	0	0
2020-03-30	LB	08	lubuskie	3	0
2020-03-31	LB	08	lubuskie	6	0
2020-04-01	LB	08	lubuskie	5	0
2020-04-02	LB	08	lubuskie	1	0
2020-04-03	LB	08	lubuskie	2	0
2020-04-04	LB	08	lubuskie	6	0
2020-04-05	LB	08	lubuskie	3	0
2020-04-06	LB	08	lubuskie	3	0
2020-04-07	LB	08	lubuskie	0	0
2020-04-08	LB	08	lubuskie	4	0
2020-04-09	LB	08	lubuskie	3	0
2020-04-10	LB	08	lubuskie	5	0
2020-04-11	LB	08	lubuskie	2	0
2020-04-12	LB	08	lubuskie	2	0
2020-04-13	LB	08	lubuskie	0	0
2020-04-14	LB	08	lubuskie	1	0
2020-04-15	LB	08	lubuskie	0	0
2020-04-16	LB	08	lubuskie	2	0
2020-04-17	LB	08	lubuskie	0	0
2020-04-18	LB	08	lubuskie	0	0
2020-04-19	LB	08	lubuskie	0	0
2020-04-20	LB	08	lubuskie	1	0
2020-04-21	LB	08	lubuskie	2	0
2020-04-22	LB	08	lubuskie	1	0
2020-04-23	LB	08	lubuskie	0	0
2020-04-24	LB	08	lubuskie	0	0
2020-04-25	LB	08	lubuskie	0	0
2020-04-26	LB	08	lubuskie	2	0
2020-04-27	LB	08	lubuskie	0	0
2020-04-28	LB	08	lubuskie	0	0
2020-04-29	LB	08	lubuskie	0	0
2020-04-30	LB	08	lubuskie	0	0
2020-05-01	LB	08	lubuskie	0	0
2020-05-02	LB	08	lubuskie	0	0
2020-05-03	LB	08	lubuskie	1	0
2020-05-04	LB	08	lubuskie	2	0
2020-05-05	LB	08	lubuskie	0	0
2020-05-06	LB	08	lubuskie	0	0
2020-05-07	LB	08	lubuskie	2	0
2020-05-08	LB	08	lubuskie	0	0
2020-05-09	LB	08	lubuskie	0	0
2020-05-10	LB	08	lubuskie	0	0
2020-05-11	LB	08	lubuskie	0	0
2020-05-12	LB	08	lubuskie	0	0
2020-05-13	LB	08	lubuskie	0	0
2020-05-14	LB	08	lubuskie	0	0
2020-05-15	LB	08	lubuskie	0	0
2020-05-16	LB	08	lubuskie	0	0
2020-05-17	LB	08	lubuskie	0	0
2020-05-18	LB	08	lubuskie	0	0
2020-05-19	LB	08	lubuskie	0	0
2020-05-20	LB	08	lubuskie	0	0
2020-05-21	LB	08	lubuskie	3	0
2020-05-22	LB	08	lubuskie	2	0
2020-05-23	LB	08	lubuskie	2	0
2020-05-24	LB	08	lubuskie	4	0
2020-05-25	LB	08	lubuskie	5	0
2020-05-26	LB	08	lubuskie	3	0
2020-05-27	LB	08	lubuskie	0	0
2020-05-28	LB	08	lubuskie	2	0
2020-05-29	LB	08	lubuskie	1	0
2020-05-30	LB	08	lubuskie	2	0
2020-05-31	LB	08	lubuskie	0	0
2020-06-01	LB	08	lubuskie	2	0
2020-06-02	LB	08	lubuskie	2	0
2020-06-03	LB	08	lubuskie	2	0
2020-06-04	LB	08	lubuskie	0	0
2020-06-05	LB	08	lubuskie	2	0
2020-06-06	LB	08	lubuskie	0	0
2020-03-04	LD	10	łódzkie	0	0
2020-03-05	LD	10	łódzkie	0	0
2020-03-06	LD	10	łódzkie	0	0
2020-03-07	LD	10	łódzkie	0	0
2020-03-08	LD	10	łódzkie	0	0
2020-03-09	LD	10	łódzkie	0	0
2020-03-10	LD	10	łódzkie	0	0
2020-03-11	LD	10	łódzkie	1	0
2020-03-12	LD	10	łódzkie	1	0
2020-03-13	LD	10	łódzkie	3	0
2020-03-14	LD	10	łódzkie	10	0
2020-03-15	LD	10	łódzkie	4	0
2020-03-16	LD	10	łódzkie	12	0
2020-03-17	LD	10	łódzkie	11	0
2020-03-18	LD	10	łódzkie	0	0
2020-03-19	LD	10	łódzkie	6	0
2020-03-20	LD	10	łódzkie	9	0
2020-03-21	LD	10	łódzkie	34	0
2020-03-22	LD	10	łódzkie	15	0
2020-03-23	LD	10	łódzkie	5	0
2020-03-24	LD	10	łódzkie	18	0
