date	country	cases	deaths	day_of_epidemie	name	alpha3Code	callingCodes	altSpellings	region	population	latlng	area	name_as_list	names
2020-02-03	china	19716	425	13	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-02-04	china	23707	491	14	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-02-05	china	27440	563	15	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-02-06	china	30587	633	16	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-02-07	china	34110	718	17	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-02-08	china	36814	805	18	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-02-09	china	39829	905	19	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-02-10	china	42354	1012	20	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-02-11	china	44386	1112	21	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-02-12	china	44759	1117	22	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-02-13	china	59895	1369	23	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-02-14	china	66358	1521	24	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-02-15	china	68413	1663	25	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-02-16	china	70513	1766	26	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-02-17	china	72434	1864	27	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-02-18	china	74211	2003	28	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-02-19	china	74619	2116	29	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-02-20	china	75077	2238	30	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-02-21	china	75550	2238	31	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-02-22	china	77001	2443	32	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-02-23	china	77022	2445	33	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-02-24	china	77241	2595	34	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-02-25	china	77754	2665	35	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-02-26	china	78166	2717	36	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-02-27	china	78600	2746	37	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-02-28	china	78928	2790	38	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-02-29	china	79356	2837	39	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-03-01	china	79932	2872	40	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-03-02	china	80136	2914	41	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-03-03	china	80261	2947	42	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
